,company_id,mean_share_outstanding_2021,mean_share_outstanding_2022,mean_share_outstanding_2023,mean_eps_2021,mean_eps_2022,mean_eps_2023,mean_pe_ratio_2021,mean_pe_ratio_2022,mean_pe_ratio_2023,mean_price_to_sales_2021,mean_price_to_sales_2022,mean_price_to_sales_2023,mean_ebitda_2021,mean_ebitda_2022,mean_ebitda_2023,mean_return_on_assets_2021,mean_return_on_assets_2022,mean_return_on_assets_2023,mean_return_on_equity_2021,mean_return_on_equity_2022,mean_return_on_equity_2023,mean_return_on_capital_employed_2021,mean_return_on_capital_employed_2022,mean_return_on_capital_employed_2023,mean_interest_coverage_2021,mean_interest_coverage_2022,mean_interest_coverage_2023,cluster
39,39,3480000000.0,3480000000.0,3480000000.0,6.195,-13.012500000000001,66.88666666666667,-33.85000000000001,-42.5,15.246666666666664,0.6900000000000001,0.5125,0.6066666666666666,360595000000.0,357467500000.0,618500000000.0,0.001225000000000025,-0.0022999999999999752,0.012333333333333335,0.003,-0.006575,0.030533333333333332,0.013425,0.012874999999999973,0.031966666666666664,0.95,1.13,2.57,1
40,40,116320000000.0,116320000000.0,116320000000.0,15.34,13.59,17.783333333333335,77.0975,70.5325,56.896666666666654,5.432499999999999,3.8275,3.9499999999999997,2435292500000.0,2215060000000.0,2660733333333.3335,0.037450000000000004,0.030850000000000002,0.0392333333333333,0.06109999999999998,0.056749999999999946,0.07373333333333333,0.06784999999999997,0.06497499999999995,0.07936666666666665,162.47749999999996,155.615,224.70000000000002,0
41,41,9680000000.0,9680000000.0,9680000000.0,0.32999999999999996,0.047500000000000014,-0.43333333333333335,1346.74,247.22,499.15000000000003,8.6025,5.6575,3.9299999999999997,15117500000.0,12487500000.0,4983333333.333333,0.0033499999999999997,0.0004750000000000251,-0.0047666666666666664,0.0048000000000000004,0.0006000000000000003,-0.0063999999999999994,0.012475000000000002,0.007425,-0.0034666666666666665,1.7624999999999997,1.0075,-0.7666666666666667,1
42,42,2700000000.0,10815000000.0,13520000000.0,97.88,153.695,40.96666666666667,10.149999999999999,21.325000000000003,-1.013333333333333,16.740000000000002,7.625,6.953333333333333,536105000000.0,1836032500000.0,1210646666666.6667,0.024600000000000025,0.068925,0.027800000000000002,0.04164999999999999,0.11812500000000001,0.043633333333333336,0.05195,0.12344999999999998,0.0684,42.5075,148.515,68.21,2
43,43,11660000000.0,11660000000.0,11660000000.0,136.95,98.3425,201.79666666666665,63.25,-2542.9700000000003,66.92333333333333,7.0649999999999995,6.435,7.453333333333333,3315782500000.0,3763507500000.0,4045636666666.6665,0.014574999999999998,0.00975,0.01976666666666667,0.04922499999999997,0.031925,0.058666666666666666,0.03129999999999998,0.032625,0.03396666666666667,8.3675,2.4925,7.453333333333333,2
44,44,3990000000.0,3990000000.0,3990000000.0,-16.57,27.76,32.14,-19.915,31.5625,68.85333333333334,0.7975,0.5175,0.9266666666666667,545252500000.0,780742500000.0,943653333333.3334,-0.0013249999999999998,0.00205,0.0021666666666666666,-0.0060749999999999745,0.009699999999999976,0.010633333333333335,0.013349999999999976,0.01935,0.022066666666666665,0.7899999999999999,1.2625,1.2766666666666666,1
45,45,9940000000.0,9940000000.0,9940000000.0,59.56,78.6175,114.86666666666666,85.38750000000002,108.5075,55.589999999999996,13.4825,14.435,12.776666666666666,1359865000000.0,1670670000000.0,1980800000000.0,0.017174999999999975,0.0202,0.026799999999999966,0.019574999999999974,0.02295,0.03053333333333333,0.02505,0.029975,0.03406666666666667,63.015,54.112500000000004,66.41333333333334,0
46,46,8780000000.0,8780000000.0,8780000000.0,217.59,181.0575,268.8833333333334,29.604999999999997,50.24,30.03333333333333,2.255,2.05,2.1333333333333333,5163700000000.0,5881290000000.0,5716323333333.333,0.011049999999999999,0.00865,0.012700000000000001,0.041475,0.030375,0.04126666666666663,0.03165,0.033824999999999994,0.031266666666666665,64.57,2.82,5.66,2
47,47,5210000000.0,5210000000.0,5210000000.0,39.545,338.6675,92.97666666666667,-15.475,7.955,47.866666666666674,0.77,0.81,0.9566666666666667,3673062500000.0,5451285000000.0,1697803333333.3333,0.003925,0.030925,0.0095,0.018375,0.1133,0.026199999999999963,0.07150000000000001,0.118475,0.037733333333333334,7.547499999999999,11.61,4.403333333333333,2
48,48,5470000000.0,5470000000.0,5470000000.0,343.42,610.965,302.7766666666667,25.415,13.879999999999999,35.98,3.7800000000000002,2.9175,3.643333333333333,4065635000000.0,5391532500000.0,4085630000000.0,0.015,0.02355,0.011233333333333298,0.028475,0.042050000000000004,0.018866666666666667,0.0327,0.042299999999999977,0.027800000000000002,3.6849999999999996,4.6025,3.0066666666666664,2
